                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.64977,                 0.4783,                0.97726,                0.96704,                      1,                  0.995,                0.78252,                0.81364,                0.40862,                 1.0658,               0.004456,               0.004456,               0.004456
                     58,                0.68716,                0.49449,                0.97105,                0.97493,                      1,                  0.995,                0.80118,                0.81372,                0.38366,                 1.0701,               0.004357,               0.004357,               0.004357
                     59,                0.76514,                0.53116,                 1.0568,                0.93295,                      1,                  0.995,                0.80884,                 0.7054,                0.34727,                 1.0171,               0.004258,               0.004258,               0.004258
                     60,                0.70684,                0.49359,                 1.0101,                0.94579,                      1,                  0.995,                0.82204,                0.75086,                0.32028,                 1.0255,               0.004159,               0.004159,               0.004159
                     61,                0.67691,                  0.458,                0.96517,                0.96106,                      1,                  0.995,                0.81197,                0.80628,                 0.3788,                 1.0558,                0.00406,                0.00406,                0.00406
                     62,                0.62921,                0.44392,                0.91125,                0.97818,                      1,                  0.995,                0.83393,                0.73635,                0.36592,                 1.0145,               0.003961,               0.003961,               0.003961
                     63,                0.81996,                0.62827,                 1.0605,                 0.9815,                      1,                  0.995,                0.82775,                0.78532,                0.37515,                 1.0499,               0.003862,               0.003862,               0.003862
                     64,                0.67546,                0.50014,                0.96984,                0.98064,                      1,                  0.995,                0.83421,                 0.7624,                0.37713,                 1.0465,               0.003763,               0.003763,               0.003763
                     65,                 0.6848,                0.45291,                0.98795,                0.96893,                      1,                  0.995,                0.83939,                0.76274,                  0.377,                 1.0513,               0.003664,               0.003664,               0.003664
                     66,                0.63159,                0.43358,                0.94381,                0.96538,                      1,                  0.995,                0.91287,                0.65502,                0.35948,                 1.0418,               0.003565,               0.003565,               0.003565
                     67,                0.66766,                0.45062,                0.99339,                0.96182,                      1,                  0.995,                0.88628,                 0.6112,                0.35171,                0.99972,               0.003466,               0.003466,               0.003466
                     68,                0.66673,                0.44751,                0.93705,                0.96916,                      1,                  0.995,                0.87381,                0.63266,                0.35717,                 1.0105,               0.003367,               0.003367,               0.003367
                     69,                0.61284,                0.42126,                0.96385,                0.96327,                      1,                  0.995,                0.85988,                0.62759,                0.38665,                 1.0071,               0.003268,               0.003268,               0.003268
                     70,                0.66133,                0.44098,                0.95804,                0.95746,                      1,                  0.995,                0.82316,                0.65403,                0.39912,                0.99418,               0.003169,               0.003169,               0.003169
                     71,                0.67231,                0.47447,                0.95946,                0.95912,                      1,                  0.995,                0.90789,                0.62688,                 0.3149,                0.97419,                0.00307,                0.00307,                0.00307
                     72,                0.66996,                0.45655,                0.94854,                0.96316,                      1,                  0.995,                0.86961,                0.60953,                0.38138,                0.98207,               0.002971,               0.002971,               0.002971
                     73,                0.64032,                0.46269,                0.96733,                0.96612,                      1,                  0.995,                0.86945,                0.63201,                0.36342,                0.98769,               0.002872,               0.002872,               0.002872
                     74,                0.58204,                0.42055,                 0.9297,                0.97308,                      1,                  0.995,                0.87945,                0.65627,                0.35262,                 1.0015,               0.002773,               0.002773,               0.002773
